"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"1167978","0","SYMPHONIC TOTS & KIDS MUSICAL JOURNEY PROJECTS","45 Enfield Road, Enfield","EN2 7HA","Enfield North","07958155523","symphonictots@gmail.com","www.symphonictots.com","31/12/2019","0.0","0.0","Registered","CIO","Provides Human Resources, Provides Services","Education/training, Arts/culture/heritage/science, Economic/community Development/employment, Recreation","Children/young People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, Other Defined Groups","To advance the education of the public in the arts in particular but not exclusively families and children who are disadvantaged and potentially vulnerable; organisations and groups supporting them and members of the wider community (where there is availability) through the provision of tailored music workshops; arts education and training; and through performances arts and education,","TO ADVANCE THE EDUCATION OF THE PUBLIC IN THE ARTS IN PARTICULAR BUT NOT EXCLUSIVELY FAMILIES AND CHILDREN WHO ARE DISADVANTAGED AND POTENTIALLY VULNERABLE; ORGANISATIONS AND GROUPS SUPPORTING THEM AND MEMBERS OF THE WIDER COMMUNITY (WHERE THERE IS AVAILABILITY) THROUGH THE PROVISION OF TAILORED MUSIC WORKSHOPS; ARTS EDUCATION AND TRAINING; AND THROUGH PERFORMANCES AND ASSOCIATED ARTISTIC AND EDUCATIONAL EVENTS FOR THE PUBLIC BENEFIT."
"1107196","0","HOXTON HALL","HOXTON HALL, 130 HOXTON STREET, LONDON","N1 6SH","Hackney South and Shoreditch","02076840060","info@hoxtonhall.co.uk","www.hoxtonhall.co.uk","31/03/2020","443049.0","608662.0","Registered","Charitable company","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services","Education/training, Arts/culture/heritage/science, Economic/community Development/employment","Children/young People, People With Disabilities, The General Public/mankind","Youth Arts provision of drama, music, dance and visual arts - regular weekly workshops and one-off projects for local young people","A) THE ADVANCEMENT OF EDUCATION AND THE PROVISION OF FACILITIES FOR THE BENEFIT OF THE INHABITANTS OF HOXTON AND NEIGHBOURING BOROUGHS IN THE INTEREST OF SOCIAL WELFARE FOR RECREATION AND LEISURE OCCUPATION WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE OR THE SAID INHABITANTS.
B) TO UNDERTAKE ANY OTHER CHARITABLE PURPOSE."
"1146888","0","ISLINGTON COMMUNITY SPORTS ACADEMY","11 OAKDALE ROAD, LONDON","N4 1NU","Tottenham","07920280230","islingtonboxingclub@hotmail.com","www.islingtonboxingclub.org","31/03/2020","338442.0","351694.0","Registered","Charitable company","Provides Services","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, Amateur Sport, Economic/community Development/employment, Recreation","Children/young People, People With Disabilities, The General Public/mankind","ICSA run 7 days per week for sessions in amateur boxing, recreational boxing fitness and football. Our amateur boxing section is one of the countries largest and more successful clubs. The age range for the participants from Academy level to the Elite is from 8 years 40years old but recreational have no upper age limit. We run classes for recreational boxers and also have 6 football teams.","TO ADVANCE IN LIFE AND HELP PEOPLE,AND IN PARTICULAR YOUNG PEOPLE,THROUGH:
- THE PROVISION OF RECREATIONAL AND LEISURE TIME ACTIVITIES PROVIDED IN THE INTEREST OF SOCIAL WELFARE,DESIGNED TO IMPROVE THEIR CONDITIONS OF LIFE;
- PROVIDING SUPPORT AND ACTIVITIES WHICH DEVELOP THEIR SKILLS,CAPACITIES AND CAPABILITIES TO ENABLE THEM TO PARTICIPATE IN SOCIETY AS MATURE AND RESPONSIBLE INDIVIDUALS."
"1003302","0","CHERUBIM AND SERAPHIM CHURCH OF ZION (IMOLE) UNITED KINGDOM BRANCH","123 Victoria Road, Edmonton, LONDON","N9 9BD","Edmonton","02082452850","candsofzion@yahoo.com","","31/12/2019","65609.0","73527.0","Registered","Other","Makes Grants To Organisations, Provides Human Resources, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Accommodation/housing, Religious Activities, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","Religious Activities","TO ADVANCE THE CHRISTIAN RELIGION"
"291955","0","CAMDEN CITIZENS ADVICE BUREAUX SERVICE LIMITED","88-91 Troutbeck, Albany Street, London","NW1 4EJ","Holborn and St Pancras","02073839108","administrator@camdencabservice.org.uk","www.camdencabservice.org.uk","31/03/2020","1251748.0","1139278.0","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, The Prevention Or Relief Of Poverty, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","The principal charity activity is the provision of independent, confidential and free advice and information services to people who live, work and conduct business in the London Borough of Camden and the surrounding area.","TO PROMOTE ANY CHARITABLE PURPOSE FOR THE PUBLIC BENEFIT BY THE ADVANCEMENT OF EDUCATION, THE PROTECTION AND PRESERVATION OF HEALTH AND THE RELIEF OF POVERTY, SICKNESS AND DISTRESS IN PARTICULAR, BUT WITHOUT LIMITATION, FOR THE BENEFIT OF THE COMMUNITY IN CAMDEN AND SURROUNDING AREAS."
"295214","0","ISLINGTON MUSIC WORKSHOP LIMITED","Islington Music Workshop Ltd, 44 Pear Tree Street, LONDON","EC1V 3SF","Islington South and Finsbury","02076080231","admin@imw.co.uk","www.imw.co.uk","31/03/2020","77560.0","263601.0","Registered","Charitable company","Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","Education/training, Arts/culture/heritage/science, Economic/community Development/employment","Children/young People, People With Disabilities, Other Defined Groups, The General Public/mankind","Community education and training for the sound and recording industries.","1. TO ADVANCE THE EDUCATION OF THE PUBLIC AND IN PARTICULAR SOCIALLY AND PHYSICALLY DISADVANTAGED PERSONS RESIDING OR EMPLOYED IN THE ISLINGTON AREA. 2. TO PROVIDE FACILITIES FOR RECREATION AND OTHER LEISURE TIME ACTIVITIES IN THE INTERESTS OF SOCIAL WELFARE FOR THE SAID PERSONS RESIDENT OR EMPLOYED IN THE AREA OF BENEFIT."
"1104731","0","LONDON PLAY","International House, 64 Nile Street, LONDON","N1 7SR","Hackney South and Shoreditch","02033848510","info@londonplay.org.uk","www.londonplay.org.uk","31/03/2020","324797.0","274407.0","Registered","Charitable company","Provides Advocacy/advice/information, Acts As An Umbrella Or Resource Body","Education/training, Disability, Arts/culture/heritage/science, Amateur Sport, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, People With Disabilities, Other Charities Or Voluntary Bodies","London Play wants every child in London to have quality, accessible and inclusive play opportunities. We campaign for more and better play spaces and support playwork in the capital. Our information and advice service, policy analyses and media comments help raise awareness of the right to play and of how important play is in the growth, development and well-being of children and young people.","TO ENHANCE THE DEVELOPMENT AND EDUCATION OF CHILDREN IN THE GREATER LONDON AREA BY DEVELOPING AND SUPPORTING THE PROVISION OF CHILDREN'S PLAY PRIMARILY BY:-
1. IMPROVING THE QUALITY , DIVERSITY AND ACCESSIBILITY OF PROVISION AND OPPORTUNITIES FOR PLAY IN LONDON;
2. SECURING GREATER RECOGNITION OF THE FUNDAMENTAL IMPORTANCE OF PLAY IN THE GROWTH AND DEVELOPMENT OF LONDON 'S CHILDREN;
3. PROMOTING CO-OPERATION AND CO-ORDINATION BETWEEN PLAY PROVIDERS AND PLAY SPECIALISTS IN LONDON, AND TO DEVELOP A NETWORK OF LOCAL CO-ORDINATION AND SUPPORT AGENCIES FOR PLAY IN EVERY LONDON BOROUGH."
"1141917","0","YOUTH LEARNING NETWORK LTD","C/O SYSTEM SOLUTIONS, UNIT 2, 17 - 19 BLACKWATER STREET, EAST DULWICH, LONDON","SE22 8SD","Dulwich and West Norwood","07821623009","info@youthlearningnetwork.org","www.youthlearningnetwork.org","31/03/2020","24844.0","23231.0","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, Arts/culture/heritage/science, Economic/community Development/employment","Children/young People, People With Disabilities","Our aim is to provide educational support to families and communities, that promotes and builds a better future for all, by raising educational standards, delivering comprehensive support for children and young people, providing a better environment for learning, fostering harmonious relations among communities and undertaking visits to historical places of learning in the UK and abroad.","TO ADVANCE EDUCATION FOR THE BENEFIT OF THE PUBLIC OF YOUNG PEOPLE BY PROVIDING ADDITIONAL EDUCATION PROGRAMMES AND EDUCATIONAL SUPPORT."
"1095170","0","GOD'S GRACE MINISTRIES","Flat 14, Silver Court, Reform Row, Tottenham, LONDON","N17 9AQ","Tottenham","07946009669","ggministrieslondon@gmail.com","","31/03/2020","5390.0","5010.0","Registered","Other","Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Religious Activities, Arts/culture/heritage/science, Economic/community Development/employment, Recreation","Children/young People, People With Disabilities","The Charity object is the advancement of the Christian religion, the Relief of need, poverty and distress amongst widows and orphans in the United Kingdom and in Africa. The Charity activities are to promote Africans Orphans and Widows' issues and to provide a christian and culturally sensible support; to provide spiritual support frame to French speakers living Londonwide.","1.  THE ADVANCEMENT OF THE CHRISTIAN RELIGION;2.  THE RELIEF OF NEED, POVERTY AND DISTRESS AMONGST WIDOWS AND ORPHANS IN THE UNITED KINGDOM AND IN AFRICA."
"1164226","0","GLOBAL ARTS KINGSTON","16 GREENFIELD AVENUE, SURBITON","KT5 9HR","Kingston and Surbiton","02083954164","globalartskingston@gmail.com","www.globalartskingston.org.uk","31/03/2020","6077.0","9346.0","Registered","CIO","Provides Services","Education/training, Arts/culture/heritage/science, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","Global Arts Kingston produces an innovative arts activities programme inspired by the diverse heritage of our community.  We celebrate cultural heritage cross culturally, and cross generationally; and explore the potential to fuse artistic forms to represent global Britain.
We achieve this through an annual programme of workshops, discussion groups, exhibits, showcases, and performances.","1) TO ADVANCE THE EDUCATION OF THE PUBLIC IN THE ARTS OF MINORITY ETHNIC COMMUNITIES WITHIN THE ROYAL BOROUGH OF KINGSTON-UPON-THAMES AND ITS ENVIRONS IN PARTICULAR BUT NOT EXCLUSIVELY BY THE PROVISION AND CO-ORDINATION OF ARTISTIC EVENTS.
2) TO ADVANCE THE EDUCATION OF YOUNG PEOPLE IN ARTISTIC SKILLS THROUGH BOTH INFORMAL AND FORMAL EDUCATION CHANNELS AND THROUGH COMMUNITY NETWORKS IN ORDER TO FOSTER AN APPRECIATION AND ENJOYMENT OF THEM."
"1164827","0","SLIDE DANCE LIMITED","FLAT 5, 22 DORNTON ROAD, SOUTH CROYDON","CR2 7DP","Croydon South","07887781361","info@slidedance.org","www.slidedance.org","31/08/2020","65736.0","47553.0","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information","Education/training, The Advancement Of Health Or Saving Of Lives, Disability, Arts/culture/heritage/science, Economic/community Development/employment, Recreation","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","SLiDE creates engaging and exciting opportunities for people to encounter dance. Our work seeks to include all areas of society and to expand understanding of what dance is and can be. We run dance classes and projects mainly in south London boroughs such as Croydon, Bromley and Sutton. We work in partnership with the Brit school, St Giles SEN School and Club Soda.","TO ADVANCE FOR THE PUBLIC BENEFIT THE PERFORMING ARTS, FOR PEOPLE OF ALL ABILITIES, THROUGH THE PROVISION OF ACCESSIBLE WORKSHOPS, CLASSES, EVENTS AND PERFORMANCES IN DANCE AND ASSOCIATED ART FORMS.
TO ADVANCE FOR THE PUBLIC BENEFIT EDUCATION AND TRAINING IN INCLUSIVE ARTS PRACTICE IN DANCE AND ASSOCIATED ART FORMS."
"1151004","0","STILL THE HUNGER","Still The Hunger, 11 Glebe Road, READING","RG2 7AG","Reading East","07733300705","Beverley@stillthehunger.co.uk","www.stillthehunger.co.uk","31/12/2019","37083.0","49225.0","Registered","Charitable company","Provides Services, Other Charitable Activities","The Advancement Of Health Or Saving Of Lives, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity","People With Disabilities, Other Defined Groups","A Christian Recovery Programme open to both male and females, of any faith or none, suffering with emotional difficulties such as eating disorders, self harm and other dysfunctional coping mechanisms.Offers a supportive environment providing group and individual support that aims to build self esteem and overcome negative patterns of thinking and behaviour.","THE CHARITY'S OBJECTS ARE, FOR THE PUBLIC BENEFIT IN ACCORDANCE WITH THE STATEMENT OF BELIEFS TO ASSIST IN THE TREATMENT AND CARE OF PERSONS SUFFERING FROM MENTAL ILLNESS OF ANY DESCRIPTION OR IN NEED OF REHABILITATION AS A RESULT OF SUCH ILLNESS, BY THE PROVISION OF FACILITIES FOR EMOTIONAL SUPPORT AND RECREATION."
"1074551","0","ART IN THE PARK","ART IN THE PARK, CHUMLEIGH GARDENS","SE5 8RP","Camberwell and Peckham","020 7277 4297","studio@artinthepark.co.uk","www.artinthepark.co.uk","31/03/2020","10104.0","19673.0","Registered","Charitable company","Provides Services","Education/training, Arts/culture/heritage/science, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","To promote maintain, improve and advance education by  encouragement of the arts.To encourage and assist people in the understanding and practical support of the natural and built environment.To provide art-based facilities for recreation or other leisure time occupation in order to improve the conditions of life of  people in need.","FOR THE BENEFIT OF THE PUBLIC ENCOURAGING AND ASSISTING PEOPLE IN THE UNDERSTANDING OF AND PRACTICAL ACTION IN SUPPORT OF THE NATURAL AND BUILT ENVIRONMENT BY THE PROVISION OF ART BASED FACILITIES FOR RECREATION OR OTHER LEISURE TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE OF THOSE PERSONS WHO HAVE NEED OF SUCH FACILITIES BY REASON OF THEIR YOUTH, AGE, INFIRMITY OR DISABLEMENT, POVERTY OR SOCIAL ECONOMIC CIRCUMSTANCES."
"1043588","0","CORE ARTS","CORE ARTS, 1 ST. BARNABAS TERRACE, LONDON","E9 6DJ","Hackney South and Shoreditch","02085109990","mail@corearts.co.uk","www.corearts.co.uk","31/03/2020","977848.0","918045.0","Registered","Charitable company","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services","The Advancement Of Health Or Saving Of Lives, Disability, Arts/culture/heritage/science, Economic/community Development/employment","People With Disabilities","Relieving persons suffering from mental illness by the encouragement of participation in creative activities, particularly, but not exclusively, painting, photography, printing, music and creative writing.","THE CHARITY’S OBJECTS (OBJECTS) ARE SPECIFICALLY RESTRICTED TO THE FOLLOWING:
TO RELIEVE THE NEED OF PERSONS SUFFERING FROM MENTAL ILLNESS AND/OR THOSE AT RISK OF SOCIAL EXCLUSION, BY THE ENCOURAGEMENT OF PARTICIPATION IN CREATIVE ACTIVITIES, PARTICULARLY, BUT NOT EXCLUSIVELY, ARTS, MUSIC, MULTIMEDIA, SPORTS AND HORTICULTURE AND TO RELIEVE THE NEED OF PEOPLE WITH MENTAL HEALTH DISABILITIES BY ARRANGING WORK FOR THEM."
"1164277","0","LONDON BASKETBALL ASSOCIATION","9 Bradiston Road, London","W9 3HN","Westminster North","07985218998","info@thelba.co.uk","www.thelba.co.uk","31/07/2020","241497.0","187351.0","Registered","CIO","Provides Services","Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Amateur Sport, Economic/community Development/employment, Recreation","Children/young People, People With Disabilities, The General Public/mankind","The promotion of community participation in healthy recreation by the provision of basketball and basketball related activities and the advancement of education for the public benefit in such ways as the trustees see fit.","THE PROMOTION OF COMMUNITY PARTICIPATION IN HEALTHY RECREATION BY THE PROVISION OF BASKETBALL AND BASKETBALL RELATED ACTIVITIES; AND
THE ADVANCEMENT OF EDUCATION FOR THE PUBLIC BENEFIT IN SUCH WAYS AS THE TRUSTEES SEE FIT."
"1052842","0","DAYSPRING MINISTRIES","21 Middle Way, LONDON","SW16 4HN","Mitcham and Morden","02088745820","info@dayspringcfn.org","www.dayspringcfn.org","31/03/2020","2141.0","4548.0","Registered","Trust","Provides Services, Provides Advocacy/advice/information","Education/training, The Prevention Or Relief Of Poverty, Accommodation/housing, Religious Activities, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","THE ADVANCEMENT OF CHRISTIAN FAITH BY PROMOTING THE GOSPEL OF JESUS CHRIST, ORGANISING SEMINARS AND CONFERENCES TO PRESENT BIBLICAL SOLUTIONS TO PROBLEMS ENCOUNTERED BY FAMILLIES AND OFFERING COUNSELLING AND ADVICE SERVICES.","THE ADVANCEMENT OF RELIGION AND EDUCATION AND THE RELIEF OF POVERTY BY THE PROVISION OF ADVICE AND COUNSELLING."
"1161629","0","HOME-START LONDON","17 EAST END ROAD, STEPHEN'S HOUSE, LONDON","N3 3QE","Finchley and Golders Green","02083710674","julia17roberts@gmail.com","","31/03/2020","135897.0","106691.0","Registered","CIO","Provides Other Finance, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body","General Charitable Purposes, Education/training, Economic/community Development/employment","Children/young People, People With Disabilities, The General Public/mankind","Home-Start is a national family support charity helping parents build better lives for their children by offering support, friendship and practical help. As an infrastructure and support organisation, Home-Start London facilitates the delivery of more varied and effective services to a large number of vulnerable families across the Capital, particularly in areas and pockets of extreme deprivation.","THE PROMOTION OF THE EFFICIENCY AND EFFECTIVENESS OF HOME-START CHARITIES IN LONDON BY PROVIDING SUPPORT TO ADMINISTRATION, INFRASTRUCTURE AND FUNDRAISING THROUGH A CONSORTIUM MODEL AND BUILDING A CO-ORDINATED SERVICE FOR VULNERABLE CHILDREN AND FAMILIES."
"1090804","0","ACORNS CHARITABLE TRUST","LANGNEY SPORTS CLUB, EASTBOURNE","BN23 7QH","Eastbourne","07860401061","trustee@acornscharity.org.uk","","30/06/2020","50389.0","18386.0","Registered","Other","Provides Buildings/facilities/open Space","Education/training, The Advancement Of Health Or Saving Of Lives, Disability, Amateur Sport, Environment/conservation/heritage, Economic/community Development/employment, Recreation","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","Provision and maintenance of a playing field and recreation ground and to provide other facilities for the benefit of the community at large and for persons who by reason of youth, age, infirmity, disability, poverty, social or economic circumstances have special need for such facilities, with a view to improving their health and well-being.","THE OBJECTS OF THE CHARITY ARE TO USE THE PROPERTY AS A PLAYING FIELD AND RECREATION GROUND AND TO PROVIDE OTHER FACILITIES FOR THE BENEFIT OF BOTH THE COMMUNITY AT LARGE AND THE PERSONS WHO BY REASON OF THEIR YOUTH, AGE, INFIRMITY, DISABILITY, POVERTY OR SOCIAL AND ECONOMIC CIRCUMSTANCES HAVE SPECIAL NEED OF SUCH FACILITIES, WITH A VIEW TO IMPROVING THEIR LIFE."
"1064231","0","COOLTAN ARTS","FROST GROUP LIMITED, AIRPORT HOUSE, PURLEY WAY, CROYDON","CR0 0XZ","Croydon South","08452600101","","www.cooltanarts.org.uk","31/03/2017","268899.0","407633.0","Registered","Charitable company","Provides Buildings/facilities/open Space, Provides Services","Education/training, The Advancement Of Health Or Saving Of Lives, Disability, Arts/culture/heritage/science, Economic/community Development/employment","People With Disabilities, The General Public/mankind","COOLTAN ARTS IS AN ARTS IN THE COMMUNITIY ORGANISATION PROVIDING A PARTICIPANT-RUN RESOURCE FOR PEOPLE WITH MENTAL DISTRESS INCLUDING THE PROVISION OF ARTS WORKSHOPS AND A GALLERY IN SOUTHWARK

IN LIQUIDATION","THE ADVANCEMENT AND PROMOTION FOR THE PUBLIC BENEFIT OF EDUCATION IN THE ARTS, IN PARTICULAR BUT NOT EXCLUSIVELY AMONG THOSE WITH LONG-TERM MENTAL ILLNESS OR DISTRESS, BY THE PROVISION AND MAINTENANCE OF AN ART GALLERY AND THE PROVISION OF ART WORKSHOPS AND SUCH OTHER ACTIVITIES OR FORMS OF TRAINING/SUPPORT AS THE TRUSTEES SHALL FROM TIME TO TIME DETERMINE. 

THE PROMOTION AND ADVANCEMENT OF GOOD HEALTH, IN PARTICULAR BUT NOT EXCLUSIVELY AMONG THOSE EXPERIENCING MENTAL-ILLNESS OR DISTRESS, BY THE PROVISION OF THERAPEUTIC EDUCATIONAL/LEISURE TIME ACTIVITIES, ADVOCACY SERVICES/TRAINING AND SUCH OTHER EXCLUSIVELY CHARITABLE MEANS AS THE TRUSTEES SHALL FROM TIME TO TIME DETERMINE."
"1004278","0","THANA TRUST","FIRST FLOOR, COPTHORN HOUSE, THE BROADWAY, ABERGELE","LL22 7DD","Clwyd West","01745825779","john@copthornehouse.com","","30/04/2020","74370.0","311195.0","Registered","Trust","Makes Grants To Organisations, Acts As An Umbrella Or Resource Body","The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Religious Activities, Economic/community Development/employment","People With Disabilities, Other Charities Or Voluntary Bodies","The Charity was created to support primary health care and community health programmes in the Thane district of Mumbai, and elsewhere in India.  The medical and community and faith based programmes are conducted through a registered Indian charity operating as the Bethany Trust.","FOR SUCH CHARITABLE PURPOSE AS THE TRUSTEES MAY THINK FIT BUT WITHOUT LIMITING THE GENERALITY THEREOF:-(1)FOR THE BENEFIT OF EDUCATION (2)RELIEF OF THE POOR AND SUFFERING INCLUDING MEDICAL AND SURGICAL RELIEF WORK (3)FOR THE PROMULGATION OF CHRISTIAN RELIGION"
"1092700","0","SOMALI DISABILITY ASSOCIATION (SDA)","Flat 29, Crouch Hall Court, Sparsholt Road, LONDON","N19 4EP","Islington North","07943142250","jabdullahi@live.co.uk","","30/06/2020","3000.0","3000.0","Registered","Other","Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Accommodation/housing, Economic/community Development/employment","People With Disabilities, People Of A Particular Ethnic Or Racial Origin","provide information to members and to others who seek information about the SDA/somali disability issues in general.advocay,advice,education,outreach programmes and member support activities.","TO RELIEVE SICKNESS, POVERTY AND DISTRESS AMONGST SOMALIS OR PEOPLE OF SOMALI ORIGIN WHO ARE SUFFERING FROM PHYSICAL OR LEARNING DISABILITIES AND TO ADVANCE EDUCATION AMONGST SAID BENEFICIARIES, THROUGH THE PROVISION OF ADVOCACY, TRANSLATION, LANGUAGE AND TRAINING CLASSES"
"1188701","0","METROPOLITAN POLICE CHOIR","Metropolitan Police, New Scotland Yard, Victoria Embankment, LONDON","SW1A 2JL","Cities of London and Westminster","02072301212","mpschoir@met.police.uk","www.metropolitanpolicechoir.co.uk","",,,"Registered","CIO","Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Arts/culture/heritage/science, Economic/community Development/employment, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","The choir performs to members of the public and at internal events in our own right, but also in support of of other charities and community groups across London.","THE OBJECTS OF THE METROPOLITAN POLICE CHOIR ARE AS FOLLOWS:
(A)	TO FOSTER THE DEVELOPMENT OF PUBLIC EDUCATION IN RELATION TO THE ARTISTIC AND SCIENTIFIC ATTRIBUTES PERTAINING TO CHORAL MUSIC UNDERTAKEN BY THE METROPOLITAN POLICE CHOIR;
(B)	TO PROMOTE, IMPROVE, DEVELOP AND MAINTAIN PUBLIC INTEREST IN CHORAL MUSIC BY THE PRESENTATION OF CONCERTS AND OTHER ACTIVITIES INVOLVING OR RELATING TO CHORAL MUSIC;
(C)	TO ADVANCE THE MUSICAL EDUCATION OF THE METROPOLITAN POLICE AND THE BRITISH POLICE SERVICE; 
(D)	TO PROMOTE AND FURTHER THE EFFICIENCY OF THE METROPOLITAN POLICE THROUGH GREATER COMMUNITY ENGAGEMENT, DEVELOPMENT AND COHESION WITH THE PUBLIC; AND
(E) TO FURTHER SUCH CHARITABLE PURPOSE(S) AS THE TRUSTEES SHALL, IN THEIR ABSOLUTE DISCRETION, THINK FIT. THIS INCLUDES, BUT IS BY NO MEANS LIMITED TO: (I) THE MAKING OF GRANTS; (II) DONATIONS; AND/OR (III) SUPPORTING OTHERS IN CHARITABLE FUNDRAISING ACTIVITIES."
"242328","0","THE SHELDON TRUST","Pothecary Witham Weld Solicitors, The Office Group, Thomas House, 84 Eccleston Square, LONDON","SW1V 1PX","Cities of London and Westminster","02078218211","charities@pwwsolicitors.co.uk","www.pwwsolicitors.co.uk","05/04/2020","267266.0","233342.0","Registered","Trust","Makes Grants To Organisations","Education/training, Disability, The Prevention Or Relief Of Poverty, Accommodation/housing, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies","To relieve poverty and distress in society concentrating on community projects and special needs groups in the West Midlands area. Nationally, Youth Development projects for young people 16 to 25 years, especially those who are NEET. Small grants for Holidays for the disadvantaged from the West Midlands and Greater London. Grants are made to registered charities and charitable organisations only.","TO OR FOR SUCH CHARITABLE PURPOSES AND IN SUCH PROPORTIONS AS SHALL FROM TIME TO TIME BE DETERMINED BY THE TRUSTEES."
"1118322","0","BURKINA FASO COMMUNITY IN THE UK (BFCUK)","Flat 12, Lilford House, Lilford Road, LONDON","SE5 9QA","Dulwich and West Norwood","07727657508","bfcuk.news@yahoo.co.uk","www.bfcuk.org.uk","27/08/2019","9450.0","6000.0","Registered","Other","Makes Grants To Individuals, Provides Human Resources, Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Accommodation/housing, Arts/culture/heritage/science, Amateur Sport, Animals, Economic/community Development/employment, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, The General Public/mankind","THE RELIEF OF FINANCIAL HARDSHIP, EITHER GENERALLY OR INDIVIDUALLY, OF PEOPLE FROM/LIVING IN AFRICA IN GENERAL AND BURKINA FASO IN PARTICULAR; THE RELIEF OF THE SICK-POOR FROM/LIVING IN AFRICA IN GENERAL AND BURKINA FASO IN PARTICULAR EITHER GENERALLY OR INDIVIDUALLY THROUGH THE PROVISIONS OF GRANTS, GOODS OR SERVICES","THE RELIEF OF FINANCIAL HARDSHIP, EITHER GENERALLY OR INDIVIDUALLY, OF PEOPLE FROM/LIVING IN AFRICA IN GENERAL AND BURKINA FASO IN PARTICULAR, BY MAKING GRANTS OF MONEY FOR PROVIDING OR PAYING FOR ITEMS, SERVICES OR FACILITIES; THE RELIEF OF THE SICK-POOR FROM/LIVING IN AFRICA IN GENERAL AND BURKINA FASO IN PARTICULAR EITHER GENERALLY OR INDIVIDUALLY THROUGH THE PROVISIONS OF GRANTS, GOODS OR SERVICES."
"1170566","0","CANARY CHILDREN SERVICES","35 FERRERS ROAD, LONDON","SW16 6JQ","Streatham","07535893166","","","31/01/2020","0.0","0.0","Registered","CIO","Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Accommodation/housing, Economic/community Development/employment, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","To support vulnerable children and young people and adults.","THE RELIEF OF POVERTY BY THE PROVISION OF EMERGENCY AND OTHER ACCOMMODATION, ADVICE AND ASSISTANCE FOR CHILDREN IN NEED WHO ARE DEEMED TO BE HOMELESS AND REQUIRE SUCH ACCOMMODATION, ADVICE OR ASSISTANCE."
